text_tokens,labels
"['[CLS]', 'what', 'is', 'the', 'most', 'expensive', 'one', 'way', 'fare', 'from', 'boston', 'to', 'atlanta', 'on', 'american', 'airlines', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'please', 'find', 'the', 'cheap', '##est', 'fare', 'from', 'boston', 'to', 'san', 'francisco', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'cheap', '##est', 'round', 'trip', 'air', '##fare', 'from', 'tacoma', 'to', 'orlando', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'fare', 'from', 'boston', 'to', 'san', 'francisco', 'on', 'united', 'airlines', 'flight', '21', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'round', 'trip', 'fares', 'from', 'denver', 'to', 'philadelphia', 'under', '1000', 'dollars', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'fares', 'and', 'flights', 'from', 'denver', 'to', 'oakland', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'i', 'would', 'like', 'the', 'time', 'your', 'earliest', 'flight', 'from', 'washington', 'to', 'philadelphia', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', ""'"", 's', 'the', 'cheap', '##est', 'fare', 'for', 'a', 'round', 'trip', 'from', 'indianapolis', 'to', 'orlando', 'on', 'december', 'twenty', 'seventh', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'price', 'of', 'all', 'flights', 'from', 'atlanta', 'to', 'washington', 'dc', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'price', 'of', 'a', 'first', 'class', 'ticket', 'from', 'milwaukee', 'to', 'san', 'francisco', 'round', 'trip', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'are', 'the', 'cost', 'of', 'morning', 'flights', 'from', 'atlanta', 'to', 'baltimore', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'i', ""'"", 'd', 'like', 'information', 'on', 'the', 'least', 'expensive', 'air', '##fare', 'round', 'trip', 'from', 'pittsburgh', 'to', 'boston', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'round', 'trip', 'fares', 'from', 'baltimore', 'to', 'philadelphia', 'less', 'than', '1000', 'dollars', 'round', 'trip', 'fares', 'from', 'denver', 'to', 'philadelphia', 'less', 'than', '1000', 'dollars', 'round', 'trip', 'fares', 'from', 'pittsburgh', 'to', 'philadelphia', 'less', 'than', '1000', 'dollars', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'fare', 'from', 'san', 'francisco', 'to', 'dallas', 'fort', 'worth', 'on', 'delta', 'flight', '85', '##2', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'cheap', '##est', 'round', 'trip', 'fare', 'from', 'atlanta', 'to', 'pittsburgh', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'us', 'air', 'fares', 'for', 'next', 'sunday', 'from', 'miami', 'to', 'cleveland', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'get', 'the', 'saturday', 'fare', 'from', 'washington', 'to', 'toronto', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'round', 'trip', 'fares', 'from', 'denver', 'to', 'philadelphia', 'less', 'than', '1000', 'dollars', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'can', 'you', 'show', 'me', 'one', 'way', 'economy', 'fares', 'from', 'dallas', 'to', 'atlanta', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'how', 'much', 'does', 'flight', 'ua', '270', 'from', 'denver', 'to', 'philadelphia', 'cost', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'i', 'need', '2', 'first', 'class', 'tickets', 'from', 'dallas', 'fort', 'worth', 'to', 'san', 'francisco', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'fares', 'from', 'washington', 'to', 'oakland', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', ""'"", 's', 'the', 'lowest', 'round', 'trip', 'fare', 'from', 'dallas', 'to', 'atlanta', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'how', 'much', 'is', 'a', 'first', 'class', 'ticket', 'from', 'washington', 'to', 'san', 'francisco', 'leaving', 'on', 'friday', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'cheap', '##est', 'fare', 'from', 'baltimore', 'to', 'dallas', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'minimum', 'connection', 'time', 'for', 'houston', 'intercontinental', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'schedule', 'for', 'flights', 'between', 'pittsburgh', 'and', 'boston', 'on', 'the', 'evening', 'of', 'july', 'ninth', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'round', 'trip', 'air', 'fares', 'from', 'baltimore', 'to', 'philadelphia', 'less', 'than', '1000', 'dollars', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'are', 'the', 'fares', 'for', 'flights', 'between', 'atlanta', 'and', 'd', '##f', '##w', 'provided', 'by', 'american', 'airlines', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'times', 'for', 'flights', 'from', 'san', 'francisco', 'to', 'atlanta', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'how', 'much', 'is', 'a', 'round', 'trip', 'first', 'class', 'fare', 'between', 'boston', 'and', 'washington', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'are', 'the', 'prices', 'of', 'the', 'flights', 'from', 'atlanta', 'to', 'dallas', 'in', 'the', 'morning', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'i', ""'"", 'd', 'like', 'a', 'round', 'trip', 'ticket', 'from', 'los', 'angeles', 'to', 'tacoma', 'washington', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'please', 'give', 'me', 'the', 'flight', 'times', 'i', 'would', 'like', 'to', 'fly', 'from', 'boston', 'to', 'baltimore', 'in', 'the', 'morning', 'before', '8', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'list', 'a', 'round', 'trip', 'fare', 'from', 'kansas', 'city', 'to', 'minneapolis', 'flights', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'list', 'departure', 'times', 'from', 'denver', 'to', 'philadelphia', 'which', 'are', 'later', 'than', '10', 'o', ""'"", 'clock', 'and', 'earlier', 'than', '2', 'pm', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'are', 'the', 'schedule', 'of', 'flights', 'from', 'boston', 'to', 'san', 'francisco', 'for', 'august', 'first', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'on', 'united', 'airlines', 'give', 'me', 'the', 'flight', 'times', 'from', 'boston', 'to', 'dallas', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'time', 'are', 'the', 'flights', 'from', 'baltimore', 'to', 'san', 'francisco', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'could', 'you', 'please', 'give', 'me', 'a', 'one', 'way', 'fare', 'from', 'pittsburgh', 'to', 'atlanta', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'how', 'much', 'does', 'a', 'first', 'class', 'round', 'trip', 'ticket', 'from', 'cleveland', 'to', 'miami', 'on', 'us', 'air', 'cost', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', ""'"", 's', 'the', 'price', 'of', 'the', 'least', 'expensive', 'first', 'class', 'round', 'trip', 'ticket', 'on', 'us', 'air', 'from', 'cleveland', 'to', 'miami', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'please', 'tell', 'me', 'the', 'times', 'of', 'the', 'flights', 'between', 'boston', 'and', 'baltimore', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'price', 'of', 'a', 'one', 'way', 'fare', 'from', 'boston', 'to', 'denver', 'on', 'continental', 'airlines', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'round', 'trip', 'fares', 'from', 'baltimore', 'to', 'philadelphia', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'fares', 'from', 'dallas', 'to', 'san', 'francisco', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'how', 'much', 'is', 'a', 'round', 'trip', 'fare', 'from', 'nashville', 'to', 'seattle', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'business', 'class', 'fares', 'from', 'san', 'francisco', 'to', 'denver', 'on', 'united', 'airlines', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'most', 'expensive', 'fare', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'cheap', '##est', 'round', 'trip', 'fare', 'from', 'baltimore', 'to', 'dallas', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'one', 'way', 'fares', 'from', 'san', 'diego', 'to', 'miami', 'nonstop', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'could', 'you', 'please', 'find', 'me', 'the', 'cheap', '##est', 'one', 'way', 'fare', 'from', 'boston', 'to', 'philadelphia', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'i', 'need', 'the', 'fares', 'on', 'flights', 'from', 'washington', 'to', 'toronto', 'on', 'a', 'saturday', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'round', 'trip', 'tickets', 'from', 'baltimore', 'to', 'atlanta', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'economy', 'th', '##rift', 'fare', 'from', 'boston', 'to', 'washington', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'cheap', '##est', 'one', 'way', 'fare', 'from', 'san', 'francisco', 'to', 'houston', 'on', 'february', 'twenty', 'eighth', '1994', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'list', 'the', 'fares', 'of', 'the', 'delta', 'airlines', 'flights', 'from', 'boston', 'to', 'philadelphia', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'first', 'class', 'fares', 'from', 'boston', 'to', 'denver', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'cheap', '##est', 'fare', 'between', 'atlanta', 'and', 'san', 'francisco', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'round', 'trip', 'first', 'class', 'fare', 'on', 'united', 'from', 'boston', 'to', 'san', 'francisco', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'could', 'you', 'give', 'me', 'the', 'schedule', 'of', 'flights', 'for', 'american', 'and', 'delta', 'to', 'd', '##f', '##w', 'on', 'august', 'fifteenth', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'please', 'list', 'fares', 'for', 'all', 'the', 'flights', 'from', 'atlanta', 'to', 'philadelphia', 'on', 'august', 'the', 'first', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'lowest', 'fare', 'from', 'denver', 'to', 'pittsburgh', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'total', 'schedule', 'for', 'delta', ""'"", 's', 'flights', 'to', 'all', 'airports', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'fare', 'going', 'from', 'atlanta', 'to', 'boston', 'one', 'way', 'on', 'november', 'seventh', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'cheap', '##est', 'fare', 'from', 'nashville', 'to', 'seattle', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'cheap', '##est', 'fare', 'that', 'i', 'can', 'get', 'between', 'philadelphia', 'and', 'san', 'francisco', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'fares', 'on', 'all', 'flights', 'round', 'trip', 'from', 'pittsburgh', 'to', 'oakland', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'are', 'the', 'times', 'that', 'you', 'have', 'planes', 'leaving', 'from', 'san', 'francisco', 'going', 'to', 'pittsburgh', 'on', 'july', 'seventh', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'hi', 'could', 'i', 'get', 'a', 'one', 'way', 'ticket', 'from', 'milwaukee', 'to', 'orlando', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'most', 'expensive', 'one', 'way', 'fare', 'between', 'detroit', 'and', 'westchester', 'county', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'schedule', 'for', 'airlines', 'leaving', 'pittsburgh', 'going', 'to', 'san', 'francisco', 'for', 'next', 'monday', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'please', 'show', 'me', 'round', 'trip', 'tickets', 'from', 'denver', 'to', 'oakland', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'cheap', '##est', 'fare', 'from', 'baltimore', 'to', 'dallas', 'in', 'any', 'class', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'lowest', 'fare', 'for', 'a', 'flight', 'from', 'washington', 'dc', 'to', 'boston', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'cheap', '##est', 'one', 'way', 'fare', 'from', 'atlanta', 'to', 'boston', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'round', 'trip', 'air', 'fares', 'from', 'pittsburgh', 'to', 'philadelphia', 'less', 'than', '1000', 'dollars', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', ""'"", 's', 'the', 'schedule', 'of', 'flights', 'from', 'atlanta', 'to', 'boston', 'on', 'august', 'first', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'the', 'air', 'fare', 'for', 'the', 'flights', 'from', 'baltimore', 'to', 'dallas', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'time', 'does', 'the', 'tuesday', 'morning', '75', '##5', 'flight', 'leaving', 'washington', 'arrive', 'in', 'san', 'francisco', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'please', 'list', 'the', 'flight', 'times', 'for', 'boston', 'to', 'pittsburgh', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'please', 'list', 'the', 'flight', 'times', 'from', 'pittsburgh', 'to', 'newark', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'are', 'the', 'fares', 'between', 'new', 'york', 'and', 'la', 'on', 'monday', 'morning', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'fare', 'going', 'from', 'baltimore', 'to', 'atlanta', 'one', 'way', 'on', 'november', 'seventh', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'round', 'trip', 'first', 'class', 'fares', 'new', 'york', 'to', 'miami', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'all', 'fares', 'from', 'new', 'york', 'to', 'miami', 'leaving', 'on', 'a', 'tuesday', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'cheap', '##est', 'one', 'way', 'fare', 'from', 'any', 'city', 'to', 'another', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'air', '##fare', 'for', 'a', 'round', 'trip', 'first', 'class', 'ticket', 'from', 'detroit', 'to', 'st', '.', 'petersburg', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'show', 'me', 'first', 'class', 'fares', 'from', 'dallas', 'to', 'baltimore', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['[CLS]', 'what', 'is', 'the', 'cheap', '##est', 'fare', 'one', 'way', 'between', 'pittsburgh', 'and', 'denver', '[SEP]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
